match_id,date,begin_at,end_at,team_1,team_2,team_1_id,team_2_id,team_1_score,team_2_score,winner,winner_id,status,match_type,number_of_games,league,serie,tournament,event_name
583560,2021-02-03,,,MNA,Touch The Crown,128592,126657,1,0,MNA,128592,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583543,2021-02-01,,,MNA,Ambush,128592,126217,0,1,Ambush,126217,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583542,2021-02-01,,,hREDS,Saints,126317,128596,1,0,hREDS,126317,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583545,2021-02-01,,,ex-AVEZ,Case,128602,128107,1,0,ex-AVEZ,128602,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583544,2021-02-01,,,GROND,Budapest Five,128007,126698,1,0,GROND,128007,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583540,2021-01-31,,,Touch The Crown,Young Ninjas,126657,128327,1,0,Touch The Crown,126657,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583539,2021-01-31,,,PAPERPLANES,Pompa Team,128531,126514,1,0,PAPERPLANES,128531,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583538,2021-01-31,,,NOSTALGIA,Tikitakan,128280,127590,0,1,Tikitakan,127590,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583537,2021-01-29,,,Young Ninjas,Sissi State Punks,128327,127933,1,0,Young Ninjas,128327,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583536,2021-01-29,,,ex-Tenerife Titans,NOSTALGIA,128595,128280,1,0,ex-Tenerife Titans,128595,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583535,2021-01-29,,,IN.GAME,los kogutos,128077,127837,0,1,los kogutos,127837,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583534,2021-01-29,,,Budapest Five,Movistar KOI,126698,125785,1,0,Budapest Five,126698,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583533,2021-01-28,,,mCon,SG.pro,128563,126716,0,1,SG.pro,126716,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583532,2021-01-28,,,SOON,EC Kyiv,128601,128230,0,1,EC Kyiv,128230,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583531,2021-01-28,,,TheDice,Sissi State Punks,126560,127933,1,0,TheDice,126560,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583530,2021-01-28,,,KOVA,MNA,126318,128592,0,1,MNA,128592,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583527,2021-01-28,,,LowLandLions,SJ,3267,125768,1,0,LowLandLions,3267,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583507,2021-01-24,,,Lyngby Vikings,MNA,126880,128592,0,1,MNA,128592,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583489,2021-01-19,,,GROND,SG.pro,128007,126716,1,0,GROND,128007,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583486,2021-01-19,,,mCon,Case,128563,128107,0,1,Case,128107,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583490,2021-01-19,,,Lilmix,AGF Esports Academy,126417,128395,1,0,Lilmix,126417,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
580955,2021-01-18,,,Vexed,los kogutos,3313,127837,1,0,Vexed,3313,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
573082,2020-10-24,2020-10-24T15:15:00Z,,Kombucha,Stabæk Momentum,127944,127947,2,0,Kombucha,127944,finished,best_of,3,Fragleague,—,Group B,Fragleague / Group B
565486,2020-07-09,2020-07-09T07:00:00Z,,Wisla Krakow,HONORIS,126376,127448,2,0,Wisla Krakow,126376,finished,best_of,3,Nine to Five,—,Swiss Stage,Nine to Five / Swiss Stage
565590,2020-07-06,2020-07-06T08:00:00Z,,OneThree,HZ,126374,126806,2,0,OneThree,126374,finished,best_of,3,ThunderFire Asia Championship,—,Group Stage,ThunderFire Asia Championship / Group Stage
563919,2020-06-12,2020-06-12T20:00:00Z,,OFFSET,Queso,126082,127408,1,0,OFFSET,126082,finished,best_of,1,One Tap,—,Stop 1,One Tap / Stop 1
563918,2020-06-12,2020-06-12T18:45:00Z,,KPI,Real Betis,126622,126623,1,0,KPI,126622,finished,best_of,1,One Tap,—,Stop 1,One Tap / Stop 1
563447,2020-06-11,2020-06-11T01:00:00Z,,Bravos,RED Canids,126865,126227,0,2,RED Canids,126227,finished,best_of,3,Gamers Club Redragon Challenge,—,Group B,Gamers Club Redragon Challenge / Group B
563403,2020-06-10,2020-06-10T00:45:00Z,,Asterius,Neverest,126955,126954,2,1,Asterius,126955,finished,best_of,3,Gamers Club Redragon Challenge,—,Group A,Gamers Club Redragon Challenge / Group A
563415,2020-06-09,2020-06-09T22:00:00Z,,RED Canids,999,126227,127525,2,1,RED Canids,126227,finished,best_of,3,Gamers Club Redragon Challenge,—,Group B,Gamers Club Redragon Challenge / Group B
563396,2020-06-09,2020-06-09T22:00:00Z,,Neverest,9z,126954,126709,0,2,9z,126709,finished,best_of,3,Gamers Club Redragon Challenge,—,Group A,Gamers Club Redragon Challenge / Group A
563389,2020-06-09,2020-06-09T22:00:00Z,,W7M,Asterius,125929,126955,2,1,W7M,125929,finished,best_of,3,Gamers Club Redragon Challenge,—,Group A,Gamers Club Redragon Challenge / Group A
557221,2020-03-17,2020-03-17T19:00:00Z,,Red Instinct,KINGZZZ,126501,127188,1,2,KINGZZZ,127188,finished,best_of,3,ESL Swiss League,—,Group A,ESL Swiss League / Group A
557222,2020-03-17,2020-03-17T19:00:00Z,,Lionz,Babos,127187,127186,2,1,Lionz,127187,finished,best_of,3,ESL Swiss League,—,Group A,ESL Swiss League / Group A
550185,2019-10-30,2019-10-30T09:00:00Z,,catman,MC,126337,126372,0,1,MC,126372,finished,best_of,1,ESEA,MDL Australia,Group stage,ESEA / MDL Australia / Group stage
550036,2019-10-26,2019-10-26T15:00:00Z,,Man of the Year,Wartex International,126421,126426,1,0,Man of the Year,126421,finished,best_of,1,DreamHack Open,—,Swedish Qualifier,DreamHack Open / Swedish Qualifier
550031,2019-10-26,2019-10-26T15:00:00Z,,9INE,No Expectation,126408,126407,1,0,9INE,126408,finished,best_of,1,DreamHack Open,—,Swedish Qualifier,DreamHack Open / Swedish Qualifier
550035,2019-10-26,2019-10-26T15:00:00Z,,Starwish eSports,Valorix,126420,126418,0,1,Valorix,126418,finished,best_of,1,DreamHack Open,—,Swedish Qualifier,DreamHack Open / Swedish Qualifier
550030,2019-10-26,2019-10-26T14:00:00Z,,Blekingelaget,Another Bad Habbit,126425,126424,1,0,Blekingelaget,126425,finished,best_of,1,DreamHack Open,—,Swedish Qualifier,DreamHack Open / Swedish Qualifier
550039,2019-10-26,2019-10-26T16:15:00Z,,EsportsAdviser,9INE,126405,126408,1,0,EsportsAdviser,126405,finished,best_of,1,DreamHack Open,—,Swedish Qualifier,DreamHack Open / Swedish Qualifier
550042,2019-10-26,2019-10-26T18:00:00Z,,visomvet,EsportsAdviser,126414,126405,0,1,EsportsAdviser,126405,finished,best_of,1,DreamHack Open,—,Swedish Qualifier,DreamHack Open / Swedish Qualifier
549352,2019-10-18,2019-10-18T01:01:00Z,,Mythic,New Identity,125801,126254,1,0,Mythic,125801,finished,best_of,1,ESEA,MDL North America,Group stage,ESEA / MDL North America / Group stage
549351,2019-10-17,2019-10-17T01:00:00Z,,ATK,Big Frames,125859,126260,0,1,Big Frames,126260,finished,best_of,1,ESEA,MDL North America,Group stage,ESEA / MDL North America / Group stage
549350,2019-10-16,2019-10-16T00:00:00Z,,New Identity,Peeker's Advantage,126254,126257,0,1,Peeker's Advantage,126257,finished,best_of,1,ESEA,MDL North America,Group stage,ESEA / MDL North America / Group stage
